# suite|fixture|observed-error-or-exception
resvg|tests/filters/feTurbulence/primitiveUnits=objectBoundingBox|0.21710958265210056
resvg|tests/filters/feTurbulence/seed=-20|0.21899384737701175
resvg|tests/filters/feTurbulence/seed=1.5|0.21710958265210056
resvg|tests/filters/feTurbulence/seed=20|0.21730486043257785
resvg|tests/filters/feTurbulence/stitchTiles=stitch|0.22114197199172925
resvg|tests/filters/feTurbulence/type=fractalNoise|0.24777640731799433
resvg|tests/filters/feTurbulence/type=invalid|0.21710958265210056
resvg|tests/filters/filter-functions/two-urls|0.4750113552423782
resvg|tests/filters/filter-functions/url-and-grayscale|0.13993951655588374
resvg|tests/filters/filter/complex-order-and-xlink-href|0.42321500571791326
resvg|tests/filters/filter/everything-via-xlink-href|0.36449013880669118
resvg|tests/filters/filter/huge-region|0.47690168507525521
resvg|tests/filters/filter/in-to-invalid-1|0.46691136141437412
resvg|tests/filters/filter/in-to-invalid-2|0.55462346286570707
resvg|tests/filters/filter/in=BackgroundAlpha|0.16656827090935339
resvg|tests/filters/filter/in=BackgroundImage|0.16656827090935339
resvg|tests/filters/filter/in=FillPaint|0.30710812449749114
resvg|tests/filters/filter/in=FillPaint-with-gradient|0.40184319458715972
resvg|tests/filters/filter/in=FillPaint-with-pattern|0.21134620171138063
resvg|tests/filters/filter/in=FillPaint-with-target-on-g|0.21134620171138063
resvg|tests/filters/filter/invalid-FuncIRI|0.56568961311943344
resvg|tests/filters/filter/invalid-region|0.47690133877701496
resvg|tests/filters/filter/invalid-subregion|0.47990013874691545
resvg|tests/filters/filter/negative-subregion|0.23199115509161702
resvg|tests/filters/filter/on-an-empty-group-1|0.48101629105745747
resvg|tests/filters/filter/on-group-with-child-outside-of-canvas|0.32189106768547826
resvg|tests/filters/filter/path-bbox|0.15765678497221133
resvg|tests/filters/filter/some-attributes-via-xlink-href|0.2868652156174627
resvg|tests/filters/filter/subregion-and-primitiveUnits=objectBoundingBox-1|0.41879106189876053
resvg|tests/filters/filter/subregion-and-primitiveUnits=objectBoundingBox-2|0.41879106189876053
resvg|tests/filters/filter/subregion-bigger-that-region|0.30063998413348114
resvg|tests/filters/filter/transform-on-shape-with-filter-region|0.22324472883208782
resvg|tests/filters/filter/with-clip-path-and-mask|0.49792652501144402
resvg|tests/filters/filter/with-mask|0.42478767560851988
resvg|tests/filters/filter/with-mask-on-parent|0.52956138644273487
resvg|tests/filters/filter/with-multiple-transforms-1|0.46691136141437412
resvg|tests/filters/filter/with-region|0.34391518195047188
resvg|tests/filters/filter/with-region-and-filterUnits=userSpaceOnUse|0.40704467874161465
resvg|tests/filters/filter/with-region-and-subregion|0.28905268750889551
resvg|tests/filters/filter/with-region-outside-the-viewbox|0.47422101163998276
resvg|tests/filters/filter/with-subregion-1|0.43277255158273575
resvg|tests/filters/filter/with-subregion-2|0.32826294984669341
resvg|tests/filters/filter/with-subregion-3|0.42117824929377112
resvg|tests/filters/filter/with-transform-outside-of-canvas|0.32189106768547826
resvg|tests/filters/filter/zero-sized-subregion|0.47990013874691545
resvg|tests/filters/flood-color/hsla-color|0.48017062262883392
resvg|tests/filters/flood-color/inheritance-1|0.47844653039490881
resvg|tests/filters/flood-color/inheritance-2|0.47844653039490881
